adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001558370-24-014427	1633931	TOPBUILD CORP	1700	US	FL	DAYTONA BEACH	32114	475 N. WILLIAMSON BLVD.		(386) 304-2200	US	FL	DAYTONA BEACH	32114	475 N. WILLIAMSON BLVD.		US	DE	473096382	MASCO SPINCO CORP.	20150213	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241105	2024-11-05 16:06:00.0	0	1	bld-20240930x10q_htm.xml	1	
0001628280-24-045965	1534120	AVALO THERAPEUTICS, INC.	2834	US	MD	ROCKVILLE	20850	540 GAITHER ROAD	SUITE 400	410-522-8707	US	MD	ROCKVILLE	20850	540 GAITHER ROAD	SUITE 400	US	DE	450705648	CERECOR INC.	20111102	4-NON	0	1231	10-Q	20240930	2024	Q3	20241107	2024-11-07 07:04:00.0	0	1	avtx-20240930_htm.xml	1	
0001213900-24-088111	1655923	ALPHA COGNITION INC.	2836	CA	BC	VANCOUVER	V6C 2T8	1200-750 W PENDER ST		(858) 344-4375	US	TX	FRISCO	75036	20073 FIDDLERS GREEN		CA	BC	000000000	NEURODYN COGNITION INC.	20151016	4-NON	0	1231	S-1/A	20240630			20241016	2024-10-16 13:57:00.0	1	1	ea0207296-04_htm.xml	1	
0001065059-24-000089	1065059	CENTRUS ENERGY CORP	1400	US	MD	BETHESDA	20817	6901 ROCKLEDGE DR	SUITE 800	3015643200	US	MD	BETHESDA	20817	6901 ROCKLEDGE DR	SUITE 800	US	DE	522107911	USEC INC	19980629	2-ACC	0	1231	10-Q	20240930	2024	Q3	20241029	2024-10-29 16:40:00.0	0	1	leu-20240930_htm.xml	1	
0001213900-24-096768	1992508	21SHARES CORE ETHEREUM ETF	6221	US	NY	NEW YORK	10022	477 MADISON AVENUE		(646) 370-6016	US	NY	NEW YORK	10022	477 MADISON AVENUE		US	DE	000000000	ARK 21SHARES ETHEREUM ETF	20230906	4-NON	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 16:01:00.0	0	1	ea0219498-10q_21shares_htm.xml	1	
0001193125-24-237304	2006191	LIONSGATE STUDIOS CORP.	7812	US	CA	SANTA MONICA	90404	2700 COLORADO AVENUE		(877) 848-3866	US	CA	SANTA MONICA	90404	2700 COLORADO AVENUE		CA	BC	000000000	SEAC II CORP.	20231227	1-LAF	0	0331	POS AM	20240630			20241015	2024-10-15 09:22:00.0	0	1	d847753dposam_htm.xml	1	
0001493152-24-044776	1324759	HONG YUAN HOLDING GROUP	2821	CN		HENAN PROVINCE	450000	ROOM2707, GLOBAL MANSION, ZHENGBIAN ROAD	JINHUI DISTRICT, ZHENGZHOU CITY	861 8999250338	CN		HENAN PROVINCE	450000	ROOM2707, GLOBAL MANSION, ZHENGBIAN ROAD	JINHUI DISTRICT, ZHENGZHOU CITY	US	NV	000000000	CEREPLAST INC	20050425	4-NON	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 16:27:00.0	0	1	form10-q_htm.xml	1	
0000950170-24-119234	1385280	CINEMARK HOLDINGS, INC.	7830	US	TX	PLANO	75093	3900 DALLAS PARKWAY		(972) 665-1000	US	TX	PLANO	75093	3900 DALLAS PARKWAY		US	DE	205490327			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241031	2024-10-31 06:46:00.0	0	1	cnk-20240930_htm.xml	2	885975
0000823277-24-000046	823277	CHS INC	5150	US	MN	INVER GROVE HEIGHTS	55077	5500 CENEX DRIVE		651-355-6000	US	MN	INVER GROVE HEIGHTS	55077	5500 CENEX DRIVE		US	MN	410251095	CENEX HARVEST STATES COOPERATIVES	19980611	4-NON	0	0831	10-K	20240831	2024	FY	20241106	2024-11-06 12:01:00.0	0	1	chscp-20240831_htm.xml	1	
0001534504-24-000039	1534504	PBF ENERGY INC.	2911	US	NJ	PARSIPPANY	07054	1 SYLVAN WAY		973-455-7500	US	NJ	PARSIPPANY	07054	1 SYLVAN WAY		US	DE	000000000			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241031	2024-10-31 06:50:00.0	0	1	pbf-20240930_htm.xml	1	
0000950170-24-127019	1420565	AILERON THERAPEUTICS, INC.	2834	US	TX	AUSTIN	78758	12407 N. MOPAC EXPY.	SUITE 250 #390	7378021989	US	TX	AUSTIN	78758	12407 N. MOPAC EXPY.	SUITE 250 #390			134196017	AILERON THERAPEUTICS INC	20071207	4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 16:04:00.0	0	1	alrn-20240930_htm.xml	1	
0001889668-24-000021	1889668	BLUE OWL TECHNOLOGY FINANCE CORP. II		US	NY	NEW YORK	10022	399 PARK AVENUE		(212) 419-3000	US	NY	NEW YORK	10022	399 PARK AVENUE		US	MD	000000000	OWL ROCK TECHNOLOGY FINANCE CORP. II	20211021	4-NON	0	1231	10-Q	20240930	2024	Q3	20241107	2024-11-07 16:25:00.0	0	1	ortf-20240930_htm.xml	1	
0001437749-24-034663	1822791	CLENE INC.	2834	US	UT	SALT LAKE CITY	84121	6550 SOUTH MILLROCK DRIVE, SUITE G50		801-676-9695	US	UT	SALT LAKE CITY	84121	6550 SOUTH MILLROCK DRIVE, SUITE G50		US	DE	852828339	CHELSEA WORLDWIDE INC.	20200827	4-NON	0	1231	10-Q	20240930	2024	Q3	20241113	2024-11-13 07:31:00.0	0	1	clnn20240930_10q_htm.xml	1	
0000700564-24-000053	700564	FULTON FINANCIAL CORP	6021	US	PA	LANCASTER	17604	ONE PENN SQ	PO BOX 4887	7172912411	US	PA	LANCASTER	17604	ONE PENN SQ	PO BOX 4887	US	PA	232195389			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241108	2024-11-08 16:43:00.0	0	1	fult-20240930_htm.xml	1	
0001740797-24-000054	1740797	AVANT TECHNOLOGIES INC.	7374	US	NV	LAS VEGAS	89108	5348 VEGAS DRIVE		702-5091747	US	NV	LAS VEGAS	89108	5348 VEGAS DRIVE				384053064	TREND INNOVATIONS HOLDING INC.	20200605	4-NON	0	0331	10-Q	20240930	2025	Q2	20241112	2024-11-12 06:48:00.0	0	1	avai10q30sept2024_htm.xml	1	
0001091818-24-000142	1574676	GALENFEHA, INC.	8711	US	FL	TALLAHASSEE	32308	4362 MAHAN DRIVE		954-494-7934	US	FL	TALLAHASSEE	32308	4362 MAHAN DRIVE		US	NV	462283393			4-NON	0	1231	10-Q	20190331	2019	Q1	20241119	2024-11-19 16:32:00.0	0	1	glfh-20190331_10q_htm.xml	1	
0001213900-24-095459	1874097	CYNGN INC.	7371	US	CA	MENLO PARK	94025	1015 O'BRIEN DRIVE		650-924-5905	US	CA	MENLO PARK	94025	1015 O'BRIEN DRIVE		US	DE	462007094	CYNGN, INC.	20210721	4-NON	0	1231	10-Q	20240930	2024	Q3	20241107	2024-11-07 17:00:00.0	0	1	ea0217979-10q_cyngn_htm.xml	1	
0000950170-24-126763	1856725	RANI THERAPEUTICS HOLDINGS, INC.	2834	US	CA	SAN JOSE	95131	2051 RINGWOOD AVENUE		(408) 457-3700	US	CA	SAN JOSE	95131	2051 RINGWOOD AVENUE		US	DE	000000000			4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 08:20:00.0	0	1	rani-20240930_htm.xml	1	
0000950170-24-123778	885275	WILSON BANK HOLDING CO	6021	US	TN	LEBANON	37087	623 W MAIN STREET	P.O. BOX 768	6154442265	US	TN	LEBANON	37087	623 W MAIN STREET	P.O. BOX 768	US	TN	621497076			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241108	2024-11-08 11:02:00.0	0	1	ck0000885275-20240930_htm.xml	1	
0001808805-24-000072	1808805	NAUTILUS BIOTECHNOLOGY, INC.	3826	US	WA	SEATTLE	98102	2701 EASTLAKE AVE EAST		206-333-2001	US	WA	SEATTLE	98102	2701 EASTLAKE AVE EAST				981541723	ARYA SCIENCES ACQUISITION CORP III	20200408	4-NON	0	1231	10-Q	20240930	2024	Q3	20241029	2024-10-29 16:06:00.0	0	1	naut-20240930_htm.xml	1	
0000825313-24-000075	825313	ALLIANCEBERNSTEIN HOLDING L.P.	6282	US	TN	NASHVILLE	37203	501 COMMERCE STREET		6156220000	US	TN	NASHVILLE	37203	501 COMMERCE STREET		US	DE	133434400	ALLIANCE CAPITAL MANAGEMENT HOLDING LP	19991101	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241024	2024-10-24 06:38:00.0	0	1	ab-20240930_htm.xml	1	
0001493152-24-048726	1774170	POWERFLEET, INC.	3669	US	NJ	WOODCLIFF LAKE	07677	123 TICE BLVD.		201-996-9000	US	NJ	WOODCLIFF LAKE	07677	123 TICE BLVD.		US	DE	834366463	POWERFLEET, INC.	20190417	2-ACC	0	0331	S-1/A	20240331			20241205	2024-12-05 06:13:00.0	0	1	forms-1a_htm.xml	1	
0001493152-24-044300	1799332	GAN LTD	7370	US	CA	IRVINE	92618	400 SPECTRUM CENTER DRIVE, SUITE 1900		702-964-5777	US	CA	IRVINE	92618	400 SPECTRUM CENTER DRIVE, SUITE 1900		BM		000000000			2-ACC	0	1231	10-Q	20240930	2024	Q3	20241108	2024-11-08 16:36:00.0	0	1	form10-q_htm.xml	1	
0001140361-24-046312	1444192	GRACE THERAPEUTICS, INC.	2834	US	NJ	PRINCETON	08540	103 CARNEGIE CENTER	SUITE 300	609-322-1602	US	NJ	PRINCETON	08540	103 CARNEGIE CENTER	SUITE 300	US	DE	000000000	ACASTI PHARMA INC.	20080828	4-NON	0	0331	10-Q	20240930	2025	Q2	20241113	2024-11-13 07:31:00.0	0	1	ef20037228_10q_htm.xml	1	
0001691303-24-000037	1691303	WARRIOR MET COAL, INC.	1220	US	AL	BROOKWOOD	35444	16243 HIGHWAY 216		2055546150	US	AL	BROOKWOOD	35444	16243 HIGHWAY 216		US	DE	810706839	WARRIOR MET COAL, LLC	20161201	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241030	2024-10-30 16:45:00.0	0	1	hcc-20240930_htm.xml	1	
0000712537-24-000121	712537	FIRST COMMONWEALTH FINANCIAL CORP /PA/	6021	US	PA	INDIANA	15701	601 PHILADELPHIA STREET		7243497220	US	PA	INDIANA	15701	601 PHILADELPHIA STREET		US	PA	251428528			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 16:04:00.0	0	1	fcf-20240930_htm.xml	1	
0001751788-24-000150	1751788	DOW INC.	2821	US	MI	MIDLAND	48674	2211 H.H. DOW WAY		9896361000	US	MI	MIDLAND	48674	2211 H.H. DOW WAY		US	DE	301128146	DOW INC.	20190305	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241025	2024-10-25 07:52:00.0	0	1	dow-20240930_htm.xml	2	29915
0001048268-24-000134	1048268	IES HOLDINGS, INC.	1731	US	TX	HOUSTON	77056	2 RIVERWAY	SUITE 1730	7138601500	US	TX	HOUSTON	77056	2 RIVERWAY	SUITE 1730	US	DE	760542208	INTEGRATED ELECTRICAL SERVICES, INC.	20150106	1-LAF	0	0930	10-K	20240930	2024	FY	20241122	2024-11-22 07:51:00.0	0	1	iesc-20240930_htm.xml	1	
0001498710-24-000220	1498710	SPIRIT AIRLINES, INC.	4512	US	FL	DANIA BEACH	33004	1731 RADIANT DRIVE		954-447-7920	US	FL	DANIA BEACH	33004	1731 RADIANT DRIVE		US	DE	381747023			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241125	2024-11-25 17:07:00.0	0	1	save-20240930_htm.xml	1	
0001666071-24-000167	1666071	CARDLYTICS, INC.	7370	US	GA	ATLANTA	30308	675 PONCE DE LEON AVENUE, NE	SUITE 4100	888-798-5802	US	GA	ATLANTA	30308	675 PONCE DE LEON AVENUE, NE	SUITE 4100	US	DE	263039436			2-ACC	0	1231	10-Q	20240930	2024	Q3	20241106	2024-11-06 16:31:00.0	0	1	cdlx-20240930_htm.xml	1	
0001558370-24-014957	1818844	DOGWOOD THERAPEUTICS, INC.	2834	US	GA	ALPHARETTA	30009	44 MILTON AVENUE		8666208655	US	GA	ALPHARETTA	30009	44 MILTON AVENUE		US	DE	854314201	VIRIOS THERAPEUTICS, INC.	20201217	4-NON	0	1231	10-Q	20240930	2024	Q3	20241108	2024-11-08 08:16:00.0	0	1	viri-20240930x10q_htm.xml	1	
0001039399-24-000035	1039399	FORMFACTOR INC	3674	US	CA	LIVERMORE	94551	7005 SOUTHFRONT ROAD		9252904000	US	CA	LIVERMORE	94551	7005 SOUTHFRONT ROAD		US	DE	133711155			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241105	2024-11-05 16:06:00.0	0	1	form-20240928_htm.xml	1	
0001213900-24-112300	1981462	LEDDARTECH HOLDINGS INC.	7372	CA		QUEBEC CITY	G1P2J7	4535, BOUL. WILFRID-HAMEL, SUITE 240		312-609-7557	CA		QUEBEC CITY	G1P2J7	4535, BOUL. WILFRID-HAMEL, SUITE 240				000000000			4-NON	0	0930	20-F	20240930	2024	FY	20241226	2024-12-26 07:20:00.0	0	1	ea0225264-20f_leddar_htm.xml	1	
0000950170-24-126766	1750149	INHIBIKASE THERAPEUTICS, INC.	2836	US	GA	ATLANTA	30339	3350 RIVERWOOD PARKWAY SE, SUITE 1900		678-392-3419	US	GA	ATLANTA	30339	3350 RIVERWOOD PARKWAY SE, SUITE 1900		US	DE	263407249			4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 08:30:00.0	0	1	ikt-20240930_htm.xml	1	
0000950170-24-119052	903129	GENTHERM INC	3714	US	MI	NORTHVILLE	48167-8994	21680 HAGGERTY ROAD		248-504-0500	US	MI	NORTHVILLE	48167-8994	21680 HAGGERTY ROAD		US	MI	954318554	AMERIGON INC	19930503	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241030	2024-10-30 16:36:00.0	0	1	thrm-20240930_htm.xml	1	
0000950170-24-121066	1794776	PALMER SQUARE CAPITAL BDC INC.		US	KS	MISSION WOODS	66205	1900 SHAWNEE MISSION PARKWAY	SUITE 315	816-994-3200	US	KS	MISSION WOODS	66205	1900 SHAWNEE MISSION PARKWAY	SUITE 315	US	MD	843665200			4-NON	0	1231	10-Q	20240930	2024	Q3	20241105	2024-11-05 07:01:00.0	0	1	psbd-20240930_htm.xml	1	
0001493225-24-000152	1493225	NORTHFIELD BANCORP, INC.	6035	US	NJ	WOODBRIDGE	07095	581 MAIN STREET	SUITE 810	(732) 499-7200	US	NJ	WOODBRIDGE	07095	581 MAIN STREET	SUITE 810	US	DE	000000000			2-ACC	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 16:25:00.0	0	1	nfbk-20240930_htm.xml	1	
0001493152-24-045755	1514056	TITAN ENVIRONMENTAL SOLUTIONS INC.	7371	US	WA	BELLEVUE	98006	14205 SE 36TH ST.,	SUITE 100	425-818-0560	US	WA	BELLEVUE	98006	14205 SE 36TH ST.,	SUITE 100	US	NV	300580318	TRAQIQ, INC.	20170721	4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 15:41:00.0	0	1	form10-q_htm.xml	1	
0001493152-24-046885	1639068	HUBILU VENTURE CORP	6510	US	CA	BEVERLY HILLS	90212	9777 WILSHIRE BLVD	SUITE 804	(310) 308-7887	US	CA	BEVERLY HILLS	90212	9777 WILSHIRE BLVD	SUITE 804	US	DE	473342387			4-NON	0	1231	10-Q	20240930	2024	Q3	20241119	2024-11-19 17:26:00.0	0	1	form10-q_htm.xml	1	
0001558370-24-015289	1625941	ARES INDUSTRIAL REAL ESTATE INCOME TRUST INC.	6798	US	CO	DENVER	80202	1200 17TH STREET	SUITE 2900	303-228-2200	US	CO	DENVER	80202	1200 17TH STREET	SUITE 2900	US	MD	471592886	BLACK CREEK INDUSTRIAL REIT IV INC.	20170518	4-NON	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 15:39:00.0	0	1	aire-20240930x10q_htm.xml	1	
0000040729-24-000023	40729	ALLY FINANCIAL INC.	6022	US	MI	DETROIT	48226	ALLY DETROIT CENTER	500 WOODWARD AVE. FLOOR 10	866-710-4623	US	MI	DETROIT	48226	ALLY DETROIT CENTER	500 WOODWARD AVE. FLOOR 10	US	DE	380572512	GMAC INC.	20090701	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241105	2024-11-05 07:08:00.0	0	1	ally-20240930_htm.xml	1	
0000950170-24-124103	352915	UNIVERSAL HEALTH SERVICES INC	8062	US	PA	KING OF PRUSSIA	19406	367 S GULPH RD		6107683300	US	PA	KING OF PRUSSIA	19406	367 S GULPH ROAD		US	DE	232077891			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241108	2024-11-08 16:15:00.0	0	1	uhs-20240930_htm.xml	1	
0000950170-24-125375	1674760	GOLDMAN SACHS PRIVATE MIDDLE MARKET CREDIT LLC		US	NY	NEW YORK	10298-2198	200 WEST STREET		212-902-1000	US	NY	NEW YORK	10298-2198	200 WEST STREET		US	DE	000000000			4-NON	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 16:09:00.0	0	1	ck0001674760-20240930_htm.xml	1	
0001493152-24-040907	1674440	CONNEXA SPORTS TECHNOLOGIES INC.	3949	US	DE	NEW WINDSOR	21244	2709 N ROLLING RD	UNIT 138 NEW WINDSOR	(443) 407-7564	US	DE	NEW WINDSOR	21244	2709 N ROLLING RD	UNIT 138 NEW WINDSOR	US	DE	611789640	SLINGER BAG INC.	20220412	4-NON	0	0430	S-1	20240731			20241011	2024-10-11 16:17:00.0	1	1	forms-1_htm.xml	1	
0000805676-24-000149	805676	PARK NATIONAL CORP /OH/	6021	US	OH	NEWARK	43055	50 NORTH THIRD ST		6143498451	US	OH	NEWARK	43058-3500	P O BOX 3500		US	OH	311179518			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241104	2024-11-04 16:16:00.0	0	1	prk-20240930_htm.xml	1	
0001952976-24-000054	1952976	NET LEASE OFFICE PROPERTIES	6798	US	NY	NEW YORK	10001	C/O W. P. CAREY INC.	ONE MANHATTAN WEST, 395 9TH AVE. 58 FL	(844) 656-7348	US	NY	NEW YORK	10001	C/O W. P. CAREY INC.	ONE MANHATTAN WEST, 395 9TH AVE. 58 FL	US	MD	920887849			4-NON	0	1231	10-Q	20240930	2024	Q3	20241106	2024-11-06 16:03:00.0	0	1	nlop-20240930_htm.xml	1	
0000095953-24-000070	95953	ASCENT INDUSTRIES CO.	3317	US	IL	SCHAUMBURG	60173	20 N. MARTINGALE RD	SUITE 430	6308849181	US	IL	SCHAUMBURG	60173	20 N. MARTINGALE RD	SUITE 430	US	DE	570426694	SYNALLOY CORP	19920703	2-ACC	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 17:09:00.0	0	1	acnt-20240930_htm.xml	1	
0001493152-24-045164	1947244	U.S. GOLDMINING INC.	1040	CA	BC	VANCOUVER, BC	V6E 4A2	1830 - 1188 WEST GEORGIA STREET		(604) 388 9788	CA	BC	VANCOUVER, BC	V6E 4A2	1830 - 1188 WEST GEORGIA STREET		US	NV	371792147			4-NON	0	1231	10-Q	20240930	2024	Q3	20241113	2024-11-13 16:43:00.0	0	1	form10-q_htm.xml	1	
0001605888-24-000012	1605888	ATLANTIC INTERNATIONAL CORP.	7363	US	NJ	ENGLEWOOD CLIFFS	07632	270 SYLVAN AVENUE	SUITE 2230	2018994470	US	NJ	ENGLEWOOD CLIFFS	07632	270 SYLVAN AVENUE	SUITE 2230	US	DE	465319744	SEQLL, INC.	20140417	4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-13 18:13:00.0	0	1	altn-20240930_htm.xml	1	
0001558370-24-013964	812074	O-I GLASS, INC. /DE/	3221	US	OH	PERRYSBURG	43551-2999	ONE MICHAEL OWENS WAY		5673365000	US	OH	PERRYSBURG	43551-2999	ONE MICHAEL OWENS WAY		US	DE	222781933	OWENS ILLINOIS INC /DE/	20100601	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241030	2024-10-30 16:31:00.0	0	1	oi-20240930x10q_htm.xml	1	
0001213900-24-105743	1985273	TOYO CO., LTD	3990	KY		GRAND CAYMAN	KY1-1002	4TH FLOOR, HARBOUR PLACE	103 SOUTH CHURCH ST, P.O. BOX 10240	008109063486449	KY		GRAND CAYMAN	KY1-1002	4TH FLOOR, HARBOUR PLACE	103 SOUTH CHURCH ST, P.O. BOX 10240	KY		000000000				0	1231	F-1	20240630			20241205	2024-12-05 06:22:00.0	0	1	ea0212763-03_htm.xml	1	
0000950170-24-123060	716133	CINCINNATI BELL INC	4813	US	OH	CINCINNATI	45202	221 E FOURTH ST		513-397-9900	US	OH	CINCINNATI	45201	P O BOX 2301		US	OH	311056105	BROADWING INC	20000512	4-NON	0	1231	10-Q	20240930	2024	Q3	20241107	2024-11-07 13:10:00.0	0	1	ck0000716133-20240930_htm.xml	1	
0000950170-24-126733	1759138	CABALETTA BIO, INC.	2836	US	PA	PHILADELPHIA	19104	2929 ARCH STREET	SUITE 600	(267) 759-3100	US	PA	PHILADELPHIA	19104	2929 ARCH STREET	SUITE 600	US	DE	000000000			4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 07:14:00.0	0	1	caba-20240930_htm.xml	1	
0001767837-24-000018	1767837	RICHMOND MUTUAL BANCORPORATION, INC.	6022	US	IN	RICHMOND	47374	31 N. 9TH STREET		765-973-4299	US	IN	RICHMOND	47374	31 N. 9TH STREET				364926041			4-NON	0	1231	10-Q	20240930	2024	Q3	20241113	2024-11-13 15:05:00.0	0	1	fil-20240930_htm.xml	1	
0000927066-24-000179	927066	DAVITA INC.	8090	US	CO	DENVER	80202	2000 16TH STREET		310-536-2668	US	CO	DENVER	80202	2000 16TH STREET		US	DE	510354549	DAVITA HEALTHCARE PARTNERS INC.	20121107	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241029	2024-10-29 17:04:00.0	0	1	dva-20240930_htm.xml	1	
0001213900-24-098534	1388320	ACTINIUM PHARMACEUTICALS, INC.	2834	US	NY	NEW YORK	10017	100 PARK AVE., 23RD FLOOR		(646) 677-3870	US	NY	NEW YORK	10017	100 PARK AVE., 23RD FLOOR		US	DE	880378336	CACTUS VENTURES, INC.	20070130	4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 16:58:00.0	0	1	ea0217946-10q_actinium_htm.xml	1	
0001666700-24-000036	1666700	DUPONT DE NEMOURS, INC.	2821	US	DE	WILMINGTON	19805	974 CENTRE ROAD	BUILDING 730	(302) 295-5783	US	DE	WILMINGTON	19805	974 CENTRE ROAD	BUILDING 730	US	DE	811224539	DOWDUPONT INC.	20160211	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241105	2024-11-05 10:01:00.0	0	1	dd-20240930_htm.xml	1	
0001493152-24-045105	1096275	WORKSPORT LTD	3714	US	NY	WEST SENECA	14224	2500 N AMERICA DR.		1-888-554-8789	US	NY	WEST SENECA	14224	2500 N AMERICA DR.		US	NV	650782227	WORKSPORT, LTD	20200702	4-NON	0	1231	10-Q	20240930	2024	Q3	20241113	2024-11-13 16:01:00.0	0	1	form10-q_htm.xml	1	
0001681459-24-000138	1681459	TECHNIPFMC PLC	3533	GB		NEWCASTLE UPON TYNE	NE6 3PL	HADRIAN HOUSE	WINCOMBLEE ROAD	44 191 295 0303	GB		NEWCASTLE UPON TYNE	NE6 3PL	HADRIAN HOUSE	WINCOMBLEE ROAD	GB		981283037	TECHNIPFMC LTD	20160803	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241024	2024-10-24 16:01:00.0	0	1	fti-20240930_htm.xml	1	
0001213900-24-102979	1023994	SAFE & GREEN HOLDINGS CORP.	5030	US	NY	BROOKLYN	11201	195 MONTAGUE STREET, 14TH FLOOR		(646) 240-4235	US	NY	BROOKLYN	11201	195 MONTAGUE STREET, 14TH FLOOR		US	DE	954463937	SG BLOCKS, INC.	20111122	4-NON	0	1231	10-Q	20240930	2024	Q3	20241127	2024-11-26 18:51:00.0	0	1	sgbx-20240930_htm.xml	1	
0001051470-24-000216	1051470	CROWN CASTLE INC.	6798	US	TX	HOUSTON	77024	8020 KATY FREEWAY		7135703000	US	TX	HOUSTON	77024	8020 KATY FREEWAY		US	DE	760470458	CROWN CASTLE INTERNATIONAL CORP	19971215	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241030	2024-10-30 16:06:00.0	0	1	cci-20240930_htm.xml	1	
0001628280-24-043809	315293	AON PLC	6411	IE		DUBLIN 2	D02 VR98	15 GEORGES QUAY		35312666000	IE		DUBLIN 2	D02 VR98	15 GEORGES QUAY		IE		981539969	AON CORP	19920703	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241025	2024-10-25 16:05:00.0	0	1	aon-20240930_htm.xml	1	
0000897101-24-000572	351789	ELECTRO SENSORS INC	3823	US	MN	MINNETONKA	55343-9108	6111 BLUE CIRCLE DR		9529300100	US	MN	MINNETONKA	55343	6111 BLUE CIRCLE DR		US	MN	410943459			4-NON	0	1231	10-Q	20240930	2024	Q3	20241113	2024-11-13 15:15:00.0	0	1	else-20240930_htm.xml	1	
0001558370-24-013506	84246	RLI CORP	6331	US	IL	PEORIA	61615	9025 N. LINDBERGH DRIVE		3096921000	US	IL	PEORIA	61615	9025 N. LINDBERGH DRIVE		US	DE	370889946			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241023	2024-10-23 14:39:00.0	0	1	rli-20240930x10q_htm.xml	1	
0001799208-24-000046	1799208	DUN & BRADSTREET HOLDINGS, INC.	7320	US	FL	JACKSONVILLE	32256	5335 GATE PARKWAY		(904)648-6350	US	FL	JACKSONVILLE	32256	5335 GATE PARKWAY				832008699	STAR INTERMEDIATE I, INC.	20200108	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241031	2024-10-31 16:04:00.0	0	1	dnb-20240930_htm.xml	1	
0001493152-24-052216	835662	AIXIN LIFE INTERNATIONAL, INC.	5912	CN		JINJIANG DISTRICT,CHENGDU CITY	610021	HONGXING INTL BUSINESS BUILDING 2,	14TH FLR, NO. 69, QINGYUN SOUVE AVE.,	212-739-7689	CN		JINJIANG DISTRICT,CHENGDU CITY	610021	HONGXING INTL BUSINESS BUILDING 2,	14TH FLR, NO. 69, QINGYUN SOUVE AVE.,	US	CO	841085935	MERCARI COMMUNICATIONS GROUP LTD	19880707	4-NON	0	1231	10-Q	20240930	2024	Q3	20241227	2024-12-27 12:55:00.0	0	1	form10-q_htm.xml	1	
0001213900-24-095076	1259429	OXFORD SQUARE CAPITAL CORP.		US	CT	GREENWICH	06830	8 SOUND SHORE DR	SUITE 255	2039835275	US	CT	GREENWICH	06830	8 SOUND SHORE DRIVE	SUITE 255	US	MD	200118736	OXFORD STREET CAPITAL CORP.	20180319	4-NON	0	1231	10-Q	20240930	2024	Q3	20241107	2024-11-06 17:34:00.0	0	1	ea0218202-01_10q_htm.xml	1	
0000023197-24-000104	23197	COMTECH TELECOMMUNICATIONS CORP /DE/	3663	US	AZ	CHANDLER	85226	305 N 54TH STREET		4803332200	US	AZ	CHANDLER	85226	305 N 54TH STREET		US	DE	112139466	COMTECH INC	19870503	2-ACC	0	0731	10-K	20240731	2024	FY	20241030	2024-10-30 17:31:00.0	0	1	cmtl-20240731_htm.xml	1	
0001505155-24-000108	1505155	UPLAND SOFTWARE, INC.	7372	US	TX	AUSTIN	78701	401 CONGRESS AVE.	SUITE 1850	512-960-1010	US	TX	AUSTIN	78701	401 CONGRESS AVE.	SUITE 1850	US	TX	272992077	SILVERBACK ACQUISITION CORP	20101105	2-ACC	0	1231	10-Q	20240930	2024	Q3	20241107	2024-11-07 16:17:00.0	0	1	upld-20240930_htm.xml	1	
